table,id,parent_id,project_id,contract_number,parent_title,parent_status,line_number,budget_code,normalized_budget_code,description,amount,reason,typed_candidate_ids,typed_candidate_labels,other_candidate_ids,other_candidate_labels,recommended_action
"subcontract_sov_items","62e79d95-6027-4baf-b4c2-4a63b03efb3a","b8b74f63-df0d-4d5b-93d1-c480bb137d0f","31","SC-000242","SC-000242","Approved","2","261000","261000","Cost of Contracts- Subco","87653","ambiguous_typed_matches","1235eae8-aa0d-4588-8a09-704b98f0861d;470a7b44-1a25-4e42-a3f3-1c52bfa630c8","26-1000.L;26-1000.S","cccd6650-7148-49f7-9254-49ada13fdd76","26-1000","Manual selection required: choose the specific cost type candidate."
"subcontract_sov_items","13d6da9a-a352-47f0-bd09-93dfd974b5ad","b8b74f63-df0d-4d5b-93d1-c480bb137d0f","31","SC-000242","SC-000242","Approved","3","261000","261000","Cost of Contracts- Subco","16952","ambiguous_typed_matches","1235eae8-aa0d-4588-8a09-704b98f0861d;470a7b44-1a25-4e42-a3f3-1c52bfa630c8","26-1000.L;26-1000.S","cccd6650-7148-49f7-9254-49ada13fdd76","26-1000","Manual selection required: choose the specific cost type candidate."
"subcontract_sov_items","279b0e58-1709-4de4-ab82-003116e32e5f","b8b74f63-df0d-4d5b-93d1-c480bb137d0f","31","SC-000242","SC-000242","Approved","4","261000","261000","Cost of Contracts- Subco","165325","ambiguous_typed_matches","1235eae8-aa0d-4588-8a09-704b98f0861d;470a7b44-1a25-4e42-a3f3-1c52bfa630c8","26-1000.L;26-1000.S","cccd6650-7148-49f7-9254-49ada13fdd76","26-1000","Manual selection required: choose the specific cost type candidate."
"subcontract_sov_items","c092f46a-057e-4851-bbd4-60bb77ddbab7","b8b74f63-df0d-4d5b-93d1-c480bb137d0f","31","SC-000242","SC-000242","Approved","5","261000","261000","Cost of Contracts- Subco","24987","ambiguous_typed_matches","1235eae8-aa0d-4588-8a09-704b98f0861d;470a7b44-1a25-4e42-a3f3-1c52bfa630c8","26-1000.L;26-1000.S","cccd6650-7148-49f7-9254-49ada13fdd76","26-1000","Manual selection required: choose the specific cost type candidate."
"subcontract_sov_items","70aac68f-abed-46d0-b0ab-4a693dab581d","b8b74f63-df0d-4d5b-93d1-c480bb137d0f","31","SC-000242","SC-000242","Approved","6","261000","261000","Cost of Contracts- Subco","26987","ambiguous_typed_matches","1235eae8-aa0d-4588-8a09-704b98f0861d;470a7b44-1a25-4e42-a3f3-1c52bfa630c8","26-1000.L;26-1000.S","cccd6650-7148-49f7-9254-49ada13fdd76","26-1000","Manual selection required: choose the specific cost type candidate."
"subcontract_sov_items","16e9710d-0882-467b-af4e-e7e1c782357d","b8b74f63-df0d-4d5b-93d1-c480bb137d0f","31","SC-000242","SC-000242","Approved","7","26-1000","261000","Cost of Contracts- Subco","-1999","ambiguous_typed_matches","1235eae8-aa0d-4588-8a09-704b98f0861d;470a7b44-1a25-4e42-a3f3-1c52bfa630c8","26-1000.L;26-1000.S","cccd6650-7148-49f7-9254-49ada13fdd76","26-1000","Manual selection required: choose the specific cost type candidate."
"subcontract_sov_items","b90a48dd-ae4e-4545-b969-ce29cd9166d6","bc3a0b4d-8def-4aa1-8604-2a94bee02ee3","754","SC-8189-0013","","Approved","1","","","SC-8189-0013","42657","blank_code_nonzero_amount","","","","","Source data repair required: assign a project budget code before this financial amount can be trusted."
"subcontract_sov_items","5a3eb1b1-784c-455e-8672-068f803d75ca","c1198e63-1709-4b0f-a0ea-c60782d68ea6","761","SC-000365","Structural Welding Subcontract","Approved","1","051200","051200","Cost of Contracts- Subco","305297.49","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
"subcontract_sov_items","e7bbe389-9afb-488e-8db5-f5c7d3b6078e","c1198e63-1709-4b0f-a0ea-c60782d68ea6","761","SC-000365","Structural Welding Subcontract","Approved","2","051200","051200","Cost of Contracts- Subco","125000","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
"subcontract_sov_items","0c0bd390-ba43-4670-acdc-17b4f2c5a7eb","c1198e63-1709-4b0f-a0ea-c60782d68ea6","761","SC-000365","Structural Welding Subcontract","Approved","3","051200","051200","Cost of Contracts- Subco","34638","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
