Reference Nbr.,Status,Class ID,Customer ID,Project ID,Description,Revenue Change Nbr.,Change Date,Approval Date,Customer Name,Revenue Budget Change Total,Gross Margin Amount,Created On
001760,Closed,DEFAULT,CRAVING,24-115,CCO-2403-0138 - Cost to provide and install (2) two semi-recessed trash receptacles at the 1st floor bathroom communal sink back wall_x000A_- Purchase (2) Two: Bradley 344-00 Commercial Restroom Waste Receptacle (12 Gallon) (Stainless Steel)_x000A_- Install both trash,0367,2/25/2026,2/25/2026,CRAVING CREPES LLC,0.00,0.00,2/24/2026
001768,Closed,DEFAULT,CRAVING,24-115,CCO-2403-0139 - Interior design change to coffee/ bourbon bar due to shortage of SSB_x000A_Install West Coast IPA on both faces of bulkhead (do not demo SSB)_x000A_Install West Coast IPA above Green tile on East wall_x000A_Install West Coast IPA on North Wall and one board,0374,2/25/2026,2/25/2026,CRAVING CREPES LLC,0.00,0.00,2/26/2026
001762,Closed,DEFAULT,CRAVING,24-115,"CCO-2403-0140 - (4) Added Receptacles in Ice Cream Shop _x000A_All four on dedicated circuits _x000A_Run electrical through bar joists, through installed white shiplap and plywood_x000A_Install on outside of walls with metal conduit",0369,2/25/2026,2/25/2026,CRAVING CREPES LLC,0.00,0.00,2/24/2026
001764,Closed,DEFAULT,CRAVING,24-115,CCO-2403-0142 - Install cover plates at all electrical boxes that are awaiting owner provided lighting to be installed at.,0371,2/25/2026,2/25/2026,CRAVING CREPES LLC,0.00,0.00,2/24/2026
001765,Closed,DEFAULT,CRAVING,24-115,"CCO-2403-0143 - Frame for door 111(A) was damaged on site by DKM_x000A_1 6070 DBL 4"" header, LHR/RHR",0372,2/25/2026,2/25/2026,CRAVING CREPES LLC,0.00,0.00,2/25/2026
001767,Closed,DEFAULT,CRAVING,24-115,"CCO-2403-0144 - Install wood trim around kitchen vendor windows, on both sides of first floor staircase, ice cream bar and at bar bulkheads._x000A_Price for install only_x000A_Alleato to provide painted trim",0373,2/26/2026,2/26/2026,CRAVING CREPES LLC,0.00,0.00,2/26/2026
001769,Closed,DEFAULT,CRAVING,24-115,CCO-2403-0145 - Drawings had the wrong fire rating for opening 123. _x000A_Cost to change door and frame from 20 min fire rating to 45 min fire rating,0375,2/26/2026,2/26/2026,CRAVING CREPES LLC,0.00,0.00,2/26/2026
000691,On Hold,DEFAULT,CRAVING,24-115,PCCO-2403-0016 - Contingency used for lime stabilization in the parking lot.,0110,7/17/2025,7/17/2025,CRAVING CREPES LLC,0.00,0.00,7/17/2025
000727,On Hold,DEFAULT,CRAVING,24-115,PCCO-2403-0017 - Add concrete area and two shower stations with sand interceptor,0116,7/26/2025,7/26/2025,CRAVING CREPES LLC,"55,687.50","5,687.50",7/25/2025
001407,On Hold,DEFAULT,CRAVING,24-115,PCCO-2403-0020 - Interior Design Change Order 1/3_x000A_All credits from deducts applied to this CO_x000A_Structural upgrades to windows/doors_x000A_Painting structural steel_x000A_Underground Plumbing_x000A_Electrical add for all power and lighting,0207,8/22/2025,8/22/2025,CRAVING CREPES LLC,"231,223.50","23,615.42",10/29/2025
