Type,Reference Nbr.,Status,Payment Date,Payment Period,Customer,Customer Name,Description,Payment Ref.,Payment Amount,Currency,Cash Account,Payment Method,Created On
Payment,000175,Closed,6/6/2025,06-2025,CEVA,"CEVA Logistics U.S., Inc.",Payment for Invoice 246 - 247,1579014990TC,"57,639.00",USD,CHECKING,CHECK,6/9/2025
Payment,000173,Closed,6/5/2025,06-2025,JAMDPR,JAM'D Propert Group LLC,Pay App 010 - Crate Escapes (Final),1568722728TC,"28,208.90",USD,CHECKING,CHECK,6/6/2025
Payment,000174,Closed,6/4/2025,06-2025,VARGO,"Vargo, LLC",,1551745939TC,"318,412.65",USD,CHECKING,CHECK,6/6/2025
Payment,000172,Closed,5/22/2025,05-2025,GOODWILL,"Goodwill Industries of Central Indiana, Llc",RI-2603-0006 - Goodwill Bloomington,1427850399TC,"28,290.25",USD,CHECKING,CHECK,5/23/2025
Payment,000171,Closed,5/19/2025,05-2025,ASPIRE,Aspire Oak Tree Daytona LS,Permit for Bradenton,Check#700008427,"4,000.00",USD,CHECKING,CHECK,5/19/2025
Payment,000170,Closed,5/19/2025,05-2025,JAMDPR,JAM'D Propert Group LLC,PCO#006: Masonry and Concrete for Monument Sign,9215986202,"5,804.66",USD,CHECKING,CHECK,5/19/2025
Payment,000169,Closed,5/7/2025,05-2025,CEVA,"CEVA Logistics U.S., Inc.",Bernville Sprinkler,1275967027TC,"704,794.00",USD,CHECKING,CHECK,5/8/2025
Payment,000168,Closed,5/5/2025,05-2025,JAMDPR,JAM'D Propert Group LLC,PayApp 003 - Hood Install,1258735642TC,"46,478.60",USD,CHECKING,CHECK,5/7/2025
Payment,000167,Closed,5/1/2025,05-2025,GOODWILL,"Goodwill Industries of Central Indiana, Llc",RI-2603-0005 - Goodwill Bloomington,1214173080TC,"200,103.05",USD,CHECKING,CHECK,5/2/2025
Payment,000166,Closed,4/30/2025,04-2025,IBEACH,iBeach Holding Partners LLC,,3756305120ES,"200,000.00",USD,CHECKING,CHECK,5/2/2025
Payment,000165,Closed,4/29/2025,04-2025,JAMDPR,JAM'D Propert Group LLC,PCO#010: Health Departments Adds,1194690223TC,"5,625.16",USD,CHECKING,CHECK,4/30/2025
Credit Memo,000299,Closed,4/25/2025,04-2025,GOODWILL,"Goodwill Industries of Central Indiana, Llc",Goodwill Bloomington PayApp003,,"28,290.25",USD,,,5/29/2025
Payment,000164,Closed,4/25/2025,04-2025,IBEACH,iBeach Holding Partners LLC,"Design, Pre-Con, Down Payment, and Mobilization billing",3437655115ES,"300,000.00",USD,CHECKING,CHECK,4/28/2025
Payment,000163,Closed,4/25/2025,04-2025,SPECTOR,"Spector and Co US, LP",Electrical/Heater Repairs,1108861115FF,"8,350.00",USD,CHECKING,CHECK,4/28/2025
Payment,000159,Closed,4/25/2025,04-2025,VARGO,"Vargo, LLC",Ulta Dallas Retrofit Pay App 007,9148240000,"301,053.56",USD,CHECKING,CHECK,4/25/2025
Payment,000158,Closed,4/25/2025,04-2025,CART.COM,"Cart.com, Inc",Pay 004 - Cart Cold Storage - Electrical Service Phase 1 & 2,ID:1204895317,"174,899.20",USD,CHECKING,CHECK,4/25/2025
Payment,000157,Closed,4/25/2025,04-2025,CART.COM,"Cart.com, Inc",PO# 101921 - Entrance Gates,ID:1204895317,"61,905.29",USD,CHECKING,CHECK,4/25/2025
Payment,000162,Closed,4/24/2025,04-2025,VOORHEES,4927 Voorhees Rd FL Owner LLC,ASPIRE RIDGE HAVEN,Check 1756,"80,085.12",USD,CHECKING,CHECK,4/25/2025
Payment,000161,Closed,4/24/2025,04-2025,THEWES,The Wesleyan Church Corporation,Pay App 004 - TV outlet and Switch Relocation,Check 9910636684,"1,045.00",USD,CHECKING,CHECK,4/25/2025
Payment,000160,Closed,4/24/2025,04-2025,GOODWILL,"Goodwill Industries of Central Indiana, Llc",Pay 005 - Goodwill Bart,1149281782TC,"263,018.93",USD,CHECKING,CHECK,4/25/2025
Payment,000156,Closed,4/22/2025,04-2025,JAMDPR,JAM'D Propert Group LLC,PCO#005: Grease Trap,1128879798TC,"6,352.76",USD,CHECKING,CHECK,4/24/2025
Payment,000155,Closed,4/16/2025,04-2025,VARGO,"Vargo, LLC",Ulta Dallas Retrofit Pay App 006,1068476519TC,"167,198.75",USD,CHECKING,CHECK,4/17/2025
Payment,000154,Closed,4/4/2025,04-2025,GOODWILL,"Goodwill Industries of Central Indiana, Llc",RI-2603-0004 - Goodwill Bloomington,0949423229TC,"105,956.65",USD,CHECKING,CHECK,4/7/2025
