documentId,annotationId,annotationNumber,status,authorName,replyCount,lastUpdatedIso,preview
/60/progress-reports/a9ffa4fc-25a3-4124-82a3-32d652e0c765,OMDfwN7MEzjvfJgCtfY9,2,Open,Megan Harrison,0,2026-06-27T09:23:07.771Z,"This completely violates the design system. Move draft to below the date in the project heading. Change this to a more icon, the vertical three dots, and then have a drop down for edit, download PDF, regenerate."
/60/progress-reports/a9ffa4fc-25a3-4124-82a3-32d652e0c765,SI2dJVOeRz6dnS18Hlgf,1,Open,Megan Harrison,0,2026-06-27T09:20:40.267Z,"Title should be Alito Finance Weekly Progress Report, not just Progress Report, and then remove the heading below and make the date a little bigger."
/emails,i2zKqVMQQOB91K4AVpvK,2,Resolved,Megan Harrison,0,2026-06-27T03:55:26.167Z,"Email list rows bury the hierarchy: sender, timestamp, subject and preview all read at similar weight, so nothing anchors the scan. Make the subject the dominant line (15-16px medium), demote sender and preview to secondary gray, and use a bolder weight or unread dot for unread rows. The thin orange selection bar is good - lean into that pattern."
/emails,VXEAag2RZfnRXBTRMNeg,3,Resolved,Megan Harrison,0,2026-06-27T03:55:02.738Z,"The email header metadata is flat: From, To and Project labels sit at the same weight as their values, and the long To recipient list crowds the row. Right-align or fix label column width, lighten the labels to a muted caption, and truncate To with a +N more chip. Group the date with the subject up top rather than floating it far right."
/emails,jdS4PWB8ZfuXIckJrMob,5,Resolved,Megan Harrison,0,2026-06-27T03:44:53.383Z,"The floating AI assistant orb is visually disconnected from the product: a saturated orange gradient circle with a red notification dot, hovering with no label. It reads like a third-party chat widget rather than a native feature. Consider a labeled pill (sparkle + Ask Alleato), align it to the brand palette, and reserve the red dot for genuine unread state so it does not cry wolf."
/emails,X4L17eptZ6SLiSliH7MD,6,Resolved,Megan Harrison,0,2026-06-27T03:44:32.595Z,"The subject line and the date are split to opposite edges of a very wide band, so the eye has to travel the full width to connect them. The subject also competes with the From block right below it at similar size. Make the subject the clear page title (18-20px semibold), tuck the timestamp directly beneath or beside it, and add more padding above the From row to separate header from metadata."
/emails,AjL1WVqqlhUR0dGEGzte,1,Resolved,Megan Harrison,0,2026-06-27T03:43:32.759Z,"Header toolbar feels cramped: the Emails title sits flush against four unlabeled icons with no spacing. Add 16-24px gap between title and actions and give each icon a tooltip. Mirror Linear or Superhuman: title-left, actions-right."
/emails,1sqfiC0htFcJaxq2qbMa,7,Resolved,Megan Harrison,0,2026-06-27T03:41:41.782Z,"Raw mail-server warnings (You dont often get email from... Learn why this is important) are rendering inline as plain body text. These are provider artifacts, not message content - they make the app look like a passthrough inbox. Either strip them on ingest or render them as a styled caution banner above the body (amber strip, shield icon) so they read as a system signal, not the senders words."
/emails,WLkFwDxXkBW4jQXrLCUJ,4,Resolved,Megan Harrison,0,2026-06-27T03:40:04.528Z,"The email body is an unstyled wall of text: full-width lines run ~120 characters, the forwarded quote and signature blend into the reply, and emoji/phone artifacts sit inline with no structure. Cap the reading column at 65-75ch, add paragraph spacing, and visually demote quoted history (left border, muted color) like Gmail/Superhuman collapse trimmed content."
/emails,FOomuNLh3KU7rP0kWFk8,8,Open,Megan Harrison,0,2026-06-27T03:33:12.441Z,Increase the width of this column
/67/submittals/ee08854e-1b05-4208-be30-7f1c26edd894,iDHVlMYvh44pNyLXPJWe,1,Open,Test1 Account,0,2026-06-24T12:42:51.295Z,Inspection thread comment for styling
